4  118  1.0  0  0 0 0                 % PSEL NTP UNC IROUND LPPOT prFIT prDIFF
  3.347 87.8 0.d0           % Re De VMIN
  0 0 0              
  1.d0 1.d0                   % IFXRe IFXDe IFXVMIN
  2.7181 400.0000
2.7233   390.7157
2.7285   376.0155
2.7337   362.8627
2.7441   349.7099
2.7493   336.5571
2.7545   324.1780
2.7648   311.7989
2.7700   299.4198
2.7752   289.3617
2.7804   277.7563
2.7908   268.4720
2.7960   257.6403
2.8012   247.5822
2.8116   238.2979
2.8168   228.2399
2.8272   218.9555
2.8323   209.6712
2.8375   201.9343
2.8427   192.6499
2.8531   184.9130
2.8583   178.7234
2.8635   170.9865
2.8739   163.2495
2.8791   155.5126
2.8843   149.3230
2.8947   143.9072
2.9050   131.5281
2.9050   138.4913
2.9102   125.3385
2.9206   119.1490
2.9258   114.5068
2.9362   109.0909
2.9414   104.4488
2.9466   99.8066
2.9518   95.9381
2.9622   90.5223
2.9674   86.6538
2.9777   82.0116
2.9829   78.1432
2.9881   74.2747
2.9933   70.4062
3.0037   66.5377
3.0089   63.4430
3.0141   60.3482
3.0193   56.4797
3.0297   53.3849
3.0349   49.5165
3.0453   47.1954
3.0504   44.8743
3.0608   41.7795
3.0660   39.4584
3.0764   36.3637
3.0868   32.4952
3.0972   30.1741
3.1024   27.8530
3.1076   26.3056
3.1180   23.9845
3.1283   20.8898
3.1387   18.5687
3.1543   15.4739
3.1751   12.3791
3.2010   8.5107
3.2270   5.4159
3.2478   3.0948
3.3153   0.0000
3.3724   0.7737
3.4139   1.5474
3.4659   3.0948
3.4918   5.4159
3.5230   6.9633
3.5542   8.5107
3.5853   10.8317
3.6269   13.1528
3.6632   16.2476
3.7047   19.3424
3.7411   21.6635
3.7774   24.7582
3.8086   27.0793
3.8242   28.6267
3.8450   30.1741
3.8709   32.4952
3.8969   34.8163
3.9228   36.3637
3.9540   37.9110
3.9852   39.4584
4.0059   41.7795
4.0371   43.3269
4.0631   44.8743
4.0942   46.4217
4.1202   47.9691
4.1617   49.5165
4.1877   51.0639
4.2240   52.6112
4.2552   54.1586
4.2915   55.7060
4.3331   57.2534
4.3850   59.5745
4.4318   60.3482
4.4681   61.8956
4.5148   63.4430
4.5460   64.9904
4.5823   66.5377
4.6291   68.0851
4.7018   69.6325
4.7485   70.4062
4.7953   71.1799
4.8524   72.7273
4.9147   73.5010
4.9666   75.0484
5.0289   75.8221
5.1068   77.3695
5.1899   78.1432
5.3613   80.4642
5.4807   81.2379
5.5690   82.0116
5.8131   83.5590
5.9429   84.3327

4  0   13  16  0.0                   %  q p NS NL RREF
